model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration
Decision Tree,gini,1,14,sqrt,0,0,0,0,0,0,0,0,0,0.65,0.645,0.675,0.675,0.002
Decision Tree,gini,1,14,log2,0,0,0,0,0,0,0,0,0,0.544,0.383,0.602,0.453,0.00196
Decision Tree,gini,1,15,nan,0,0,0,0,0,0,0,0,0,0.74,0.741,0.747,0.75,0.00401
Decision Tree,gini,1,15,sqrt,0,0,0,0,0,0,0,0,0,0.61,0.582,0.554,0.557,0.002
Decision Tree,gini,1,15,log2,0,0,0,0,0,0,0,0,0,0.653,0.654,0.627,0.627,0.00199
Decision Tree,gini,1,16,nan,0,0,0,0,0,0,0,0,0,0.743,0.74,0.783,0.783,0.002
Decision Tree,gini,1,16,sqrt,0,0,0,0,0,0,0,0,0,0.74,0.741,0.747,0.747,0.001
Decision Tree,gini,1,16,log2,0,0,0,0,0,0,0,0,0,0.749,0.748,0.759,0.755,0.00101
Decision Tree,gini,1,17,nan,0,0,0,0,0,0,0,0,0,0.755,0.756,0.687,0.686,0.002
Decision Tree,gini,1,17,sqrt,0,0,0,0,0,0,0,0,0,0.595,0.578,0.602,0.58,0.002
Decision Tree,gini,1,17,log2,0,0,0,0,0,0,0,0,0,0.752,0.75,0.747,0.747,0.002
Decision Tree,gini,1,18,nan,0,0,0,0,0,0,0,0,0,0.77,0.768,0.675,0.674,0.0025
Decision Tree,gini,1,18,sqrt,0,0,0,0,0,0,0,0,0,0.731,0.732,0.783,0.784,0.00251
Decision Tree,gini,1,18,log2,0,0,0,0,0,0,0,0,0,0.758,0.756,0.723,0.723,0.00457
Decision Tree,gini,1,19,nan,0,0,0,0,0,0,0,0,0,0.758,0.757,0.723,0.718,0.00142
Decision Tree,gini,1,19,sqrt,0,0,0,0,0,0,0,0,0,0.665,0.665,0.578,0.583,0.001
Decision Tree,gini,1,19,log2,0,0,0,0,0,0,0,0,0,0.538,0.376,0.627,0.483,0.00151
Decision Tree,gini,1,20,nan,0,0,0,0,0,0,0,0,0,0.749,0.747,0.759,0.759,0.00157
Decision Tree,gini,1,20,sqrt,0,0,0,0,0,0,0,0,0,0.616,0.617,0.675,0.68,0.001
Decision Tree,gini,1,20,log2,0,0,0,0,0,0,0,0,0,0.637,0.639,0.687,0.686,0.001
Decision Tree,entropy,1,2,nan,0,0,0,0,0,0,0,0,0,0.749,0.747,0.759,0.758,0.001
Decision Tree,entropy,1,2,sqrt,0,0,0,0,0,0,0,0,0,0.547,0.387,0.59,0.438,0.002
Decision Tree,entropy,1,2,log2,0,0,0,0,0,0,0,0,0,0.625,0.628,0.639,0.635,0.00099
Decision Tree,entropy,1,3,nan,0,0,0,0,0,0,0,0,0,0.752,0.739,0.651,0.642,0.00351
Decision Tree,entropy,1,3,sqrt,0,0,0,0,0,0,0,0,0,0.604,0.572,0.482,0.436,0.002
Decision Tree,entropy,1,3,log2,0,0,0,0,0,0,0,0,0,0.746,0.747,0.723,0.724,0.003
Decision Tree,entropy,1,4,nan,0,0,0,0,0,0,0,0,0,0.746,0.744,0.771,0.773,0.00301
